施設名,住所,施設ID,緯度,経度
吹割渓谷,〒378-0303  群馬県沼田市利根町追貝,F0179,36.7021954,139.2073727
一ノ倉沢,〒379-1692  群馬県利根郡みなかみ町一ノ倉沢出合,F0180,36.8470892,138.9428962
榛名高原,〒370-3348  群馬県高崎市榛名湖町,F0181,36.4714871,138.877171
武尊山,〒378-0400  群馬県利根郡片品村／水上町／川場村,F0182,36.8053471,139.132674
至仏山,〒378-0400  群馬県利根郡片品村／水上町,F0183,36.903252,139.1733402
平標山,〒379-1404  群馬県利根郡みなかみ町相俣,F0184,36.8178399,138.8219122
四万の甌穴群,〒377-0601  群馬県吾妻郡中之条町大字四万,F0185,36.66514,138.79343
弓池,〒377-1701  群馬県吾妻郡草津町大字草津,F0186,36.636686,138.5324059
本家ちちや,〒377-1711  群馬県吾妻郡草津町草津89,F0187,36.621895,138.59728
ガトーフェスタ ハラダ 新本館シャトー・デュ・ボヌール,〒370-1301  群馬県高崎市新町1207,F0188,36.2697706,139.114293
水沢うどん 大澤屋（第二店舗）,〒377-0103  群馬県渋川市伊香保町水沢198,F0189,36.4794739,138.9479562
松むら饅頭,〒377-1711  群馬県吾妻郡草津町草津389,F0190,36.6235893,138.5952682
伊香保グリーン牧場,〒377-0027  群馬県渋川市金井2844,F0191,36.498588,138.9448029
元祖 田丸屋,〒377-0103  群馬県渋川市伊香保町水沢206-1,F0192,36.4795377,138.9469738
登利平 本店,〒371-0804  群馬県前橋市六供町1-18-6,F0193,36.3744729,139.0765831
永井食堂,〒377-0201  群馬県渋川市上白井4477-1,F0194,36.565154,139.0373851
シャンゴ 問屋町本店,〒370-0006  群馬県高崎市問屋町1-10-24,F0195,36.351123,139.00792
小荒井製菓,〒379-1617  群馬県利根郡水上町湯原1680-20,F0196,36.765071,138.967656
清芳亭,〒377-0102  群馬県渋川市伊香保町伊香保544-38,F0197,36.499693,138.9265324
ガトーフェスタ ハラダ ららん藤岡店,〒375-0015  群馬県藤岡市中1131-8 上信越自動車道藤岡ハイウェイオアシス ららん藤岡内,F0198,36.2726429,139.0723815
セブンイレブン 群馬草津湯畑店,〒377-1711  群馬県吾妻郡草津町大字草津401,F0199,36.6231579,138.5966029
登利平 南部店,〒379-2146  群馬県前橋市公田町666-7,F0200,36.342382,139.080624
焼まんじゅう島村,〒377-0601  群馬県吾妻郡中之条町大字四万4237-23,F0201,36.6838527,138.7761242
浅間酒造観光センター,〒377-1304  群馬県吾妻郡長野原町長野原1392-10,F0202,36.5483471,138.641462
おぎのや ドライブイン横川,〒379-0301  群馬県安中市松井田町横川297-1,F0203,36.3349041,138.7389222
ドンレミーアウトレット 高崎店,〒370-0045  群馬県高崎市東町5 ココパルク800 １Ｆ,F0204,36.3240829,139.0134308
フリアンのみそパン,〒378-0047  群馬県沼田市上之町193,F0205,36.6552531,139.0634305
ボンジョルノ,〒370-0075  群馬県高崎市筑縄町50-1,F0206,35.70175,139.481218
コストコ 前橋倉庫店,〒379-2141  群馬県前橋市鶴光路町137-2,F0207,36.3327394,139.0940046
三国家,〒377-1700  群馬県吾妻郡草津町草津386,F0208,35.4451194,139.6333504
登利平高崎モントレー店,〒370-0849  群馬県高崎市八島町222,F0209,36.3229442,139.0119245
高崎弁当,〒370-1201  群馬県高崎市倉賀野町,F0210,36.3030196,139.0294196
